Info positions : [3 5 6 7]
Target Info positions : [3 5 6 7]
Frozen positions : [0 1 2 4]
Code : polar 
Rate Profile : polar
Batch size : 8192
Validation SNR : 3.0
Number of heads : 1
Number of layers: 2
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 100000
8
Training Model for 4,8 anew
Number of parameters : 1781
Did not find standard validation data
Need to save for: 5000
[0/100000] At 3 dB, Loss: 1.4184008, Train BER (3 dB) : 0.5200806, Valid BER: 0.5095215, Tgt BER: 0.5095215, Noiseless BER 0.5000000, Valid BLER : 0.9974365
[9900/100000] At 3 dB, Loss: 0.3108195, Train BER (3 dB) : 0.1048279, Valid BER: 0.0847168, Tgt BER: 0.0847168, Noiseless BER 0.0000000, Valid BLER : 0.2070312
[10000/100000] At 3 dB, Loss: 0.3170764, Train BER (3 dB) : 0.1087646, Valid BER: 0.0810852, Tgt BER: 0.0810852, Noiseless BER 0.0000000, Valid BLER : 0.2038574
[10100/100000] At 3 dB, Loss: 0.3035510, Train BER (3 dB) : 0.1036377, Valid BER: 0.0830078, Tgt BER: 0.0830078, Noiseless BER 0.0000000, Valid BLER : 0.2121582
[10200/100000] At 3 dB, Loss: 0.3153657, Train BER (3 dB) : 0.1069336, Valid BER: 0.0826721, Tgt BER: 0.0826721, Noiseless BER 0.0000000, Valid BLER : 0.2066650
[10300/100000] At 3 dB, Loss: 0.3198143, Train BER (3 dB) : 0.1088257, Valid BER: 0.0854492, Tgt BER: 0.0854492, Noiseless BER 0.0000000, Valid BLER : 0.2142334
[10400/100000] At 3 dB, Loss: 0.3092757, Train BER (3 dB) : 0.1060486, Valid BER: 0.0838623, Tgt BER: 0.0838623, Noiseless BER 0.0000000, Valid BLER : 0.2141113
[10500/100000] At 3 dB, Loss: 0.3053394, Train BER (3 dB) : 0.1031799, Valid BER: 0.0897522, Tgt BER: 0.0897522, Noiseless BER 0.0000000, Valid BLER : 0.2194824
[10600/100000] At 3 dB, Loss: 0.3152792, Train BER (3 dB) : 0.1068420, Valid BER: 0.0867920, Tgt BER: 0.0867920, Noiseless BER 0.0000000, Valid BLER : 0.2155762
[10700/100000] At 3 dB, Loss: 0.3069197, Train BER (3 dB) : 0.1036682, Valid BER: 0.0822754, Tgt BER: 0.0822754, Noiseless BER 0.0000000, Valid BLER : 0.2066650
[10800/100000] At 3 dB, Loss: 0.3130207, Train BER (3 dB) : 0.1066284, Valid BER: 0.0842285, Tgt BER: 0.0842285, Noiseless BER 0.0000000, Valid BLER : 0.2055664
[10900/100000] At 3 dB, Loss: 0.2998491, Train BER (3 dB) : 0.1016235, Valid BER: 0.0816650, Tgt BER: 0.0816650, Noiseless BER 0.0000000, Valid BLER : 0.2031250
[11000/100000] At 3 dB, Loss: 0.3067890, Train BER (3 dB) : 0.1049805, Valid BER: 0.0849304, Tgt BER: 0.0849304, Noiseless BER 0.0000000, Valid BLER : 0.2138672
[11100/100000] At 3 dB, Loss: 0.3018316, Train BER (3 dB) : 0.1010437, Valid BER: 0.0858765, Tgt BER: 0.0858765, Noiseless BER 0.0000000, Valid BLER : 0.2176514
[11200/100000] At 3 dB, Loss: 0.2977861, Train BER (3 dB) : 0.0996094, Valid BER: 0.0821228, Tgt BER: 0.0821228, Noiseless BER 0.0000000, Valid BLER : 0.2073975
[11300/100000] At 3 dB, Loss: 0.3042707, Train BER (3 dB) : 0.1030884, Valid BER: 0.0848999, Tgt BER: 0.0848999, Noiseless BER 0.0000000, Valid BLER : 0.2102051
[11400/100000] At 3 dB, Loss: 0.3152488, Train BER (3 dB) : 0.1080627, Valid BER: 0.0826721, Tgt BER: 0.0826721, Noiseless BER 0.0000000, Valid BLER : 0.2092285
[11500/100000] At 3 dB, Loss: 0.3104630, Train BER (3 dB) : 0.1040955, Valid BER: 0.0842285, Tgt BER: 0.0842285, Noiseless BER 0.0000000, Valid BLER : 0.2083740
[11600/100000] At 3 dB, Loss: 0.3131784, Train BER (3 dB) : 0.1068420, Valid BER: 0.0844421, Tgt BER: 0.0844421, Noiseless BER 0.0000000, Valid BLER : 0.2130127
[11700/100000] At 3 dB, Loss: 0.3142768, Train BER (3 dB) : 0.1078491, Valid BER: 0.0809937, Tgt BER: 0.0809937, Noiseless BER 0.0000000, Valid BLER : 0.2010498
[11800/100000] At 3 dB, Loss: 0.3018141, Train BER (3 dB) : 0.1011658, Valid BER: 0.0801697, Tgt BER: 0.0801697, Noiseless BER 0.0000000, Valid BLER : 0.1993408
[11900/100000] At 3 dB, Loss: 0.3036411, Train BER (3 dB) : 0.1033020, Valid BER: 0.0811462, Tgt BER: 0.0811462, Noiseless BER 0.0000000, Valid BLER : 0.2108154
[12000/100000] At 3 dB, Loss: 0.3132967, Train BER (3 dB) : 0.1068726, Valid BER: 0.0840759, Tgt BER: 0.0840759, Noiseless BER 0.0000000, Valid BLER : 0.2098389
[12100/100000] At 3 dB, Loss: 0.3044817, Train BER (3 dB) : 0.1038208, Valid BER: 0.0830688, Tgt BER: 0.0830688, Noiseless BER 0.0000000, Valid BLER : 0.2114258
[12200/100000] At 3 dB, Loss: 0.3044059, Train BER (3 dB) : 0.1030579, Valid BER: 0.0805664, Tgt BER: 0.0805664, Noiseless BER 0.0000000, Valid BLER : 0.2015381
[12300/100000] At 3 dB, Loss: 0.3076628, Train BER (3 dB) : 0.1056519, Valid BER: 0.0822144, Tgt BER: 0.0822144, Noiseless BER 0.0000000, Valid BLER : 0.2027588
[12400/100000] At 3 dB, Loss: 0.3044506, Train BER (3 dB) : 0.1025391, Valid BER: 0.0855713, Tgt BER: 0.0855713, Noiseless BER 0.0000000, Valid BLER : 0.2050781
[12500/100000] At 3 dB, Loss: 0.3082480, Train BER (3 dB) : 0.1056824, Valid BER: 0.0812683, Tgt BER: 0.0812683, Noiseless BER 0.0000000, Valid BLER : 0.2066650
[12600/100000] At 3 dB, Loss: 0.3105112, Train BER (3 dB) : 0.1055603, Valid BER: 0.0847168, Tgt BER: 0.0847168, Noiseless BER 0.0000000, Valid BLER : 0.2097168
[12700/100000] At 3 dB, Loss: 0.2966315, Train BER (3 dB) : 0.1008606, Valid BER: 0.0823669, Tgt BER: 0.0823669, Noiseless BER 0.0000000, Valid BLER : 0.2031250
[12800/100000] At 3 dB, Loss: 0.3042586, Train BER (3 dB) : 0.1026917, Valid BER: 0.0824585, Tgt BER: 0.0824585, Noiseless BER 0.0000000, Valid BLER : 0.2034912
[12900/100000] At 3 dB, Loss: 0.2958302, Train BER (3 dB) : 0.1000366, Valid BER: 0.0817261, Tgt BER: 0.0817261, Noiseless BER 0.0000000, Valid BLER : 0.2043457
[13000/100000] At 3 dB, Loss: 0.3076969, Train BER (3 dB) : 0.1044312, Valid BER: 0.0849915, Tgt BER: 0.0849915, Noiseless BER 0.0000000, Valid BLER : 0.2158203
[13100/100000] At 3 dB, Loss: 0.3000509, Train BER (3 dB) : 0.1004028, Valid BER: 0.0845032, Tgt BER: 0.0845032, Noiseless BER 0.0000000, Valid BLER : 0.2111816
