Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : -2.0
Train SNR : -2.0
load training data? True
Number of heads : 8
Number of layers: 6
Positional encoding : static
Print frequency: 100
Num of steps: 150000
combinational training snr:  True
64
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/150000] At -2 dB, Loss: 1.2840062, Train BER (-2 dB) : 0.5527649, Valid BER: 0.4607086, Tgt BER: 0.4607086, Noiseless BER 0.4135742, Valid BLER : 0.9862061
[5000/150000] At -2 dB, Loss: 0.2623312, Train BER (-2 dB) : 0.0901184, Valid BER: 0.3100739, Tgt BER: 0.3100739, Noiseless BER 0.0000000, Valid BLER : 0.7476807
[5100/150000] At -2 dB, Loss: 0.2552175, Train BER (-2 dB) : 0.0870819, Valid BER: 0.3102875, Tgt BER: 0.3102875, Noiseless BER 0.0000000, Valid BLER : 0.7479248
[5200/150000] At -2 dB, Loss: 0.2587023, Train BER (-2 dB) : 0.0877991, Valid BER: 0.3127136, Tgt BER: 0.3127136, Noiseless BER 0.0000000, Valid BLER : 0.7496338
[5300/150000] At -2 dB, Loss: 0.2585416, Train BER (-2 dB) : 0.0874939, Valid BER: 0.3117218, Tgt BER: 0.3117218, Noiseless BER 0.0000000, Valid BLER : 0.7481689
[5400/150000] At -2 dB, Loss: 0.2657392, Train BER (-2 dB) : 0.0909882, Valid BER: 0.3130188, Tgt BER: 0.3130188, Noiseless BER 0.0000000, Valid BLER : 0.7432861
[5500/150000] At -2 dB, Loss: 0.2643230, Train BER (-2 dB) : 0.0910187, Valid BER: 0.3071289, Tgt BER: 0.3071289, Noiseless BER 0.0000000, Valid BLER : 0.7390137
[5600/150000] At -2 dB, Loss: 0.2732779, Train BER (-2 dB) : 0.0939941, Valid BER: 0.3119049, Tgt BER: 0.3119049, Noiseless BER 0.0000000, Valid BLER : 0.7441406
[5700/150000] At -2 dB, Loss: 0.2639793, Train BER (-2 dB) : 0.0908051, Valid BER: 0.3087769, Tgt BER: 0.3087769, Noiseless BER 0.0000000, Valid BLER : 0.7410889
[5800/150000] At -2 dB, Loss: 0.2622086, Train BER (-2 dB) : 0.0883636, Valid BER: 0.3142242, Tgt BER: 0.3142242, Noiseless BER 0.0000000, Valid BLER : 0.7481689
[5900/150000] At -2 dB, Loss: 0.2595441, Train BER (-2 dB) : 0.0878906, Valid BER: 0.3112335, Tgt BER: 0.3112335, Noiseless BER 0.0000000, Valid BLER : 0.7440186
[6000/150000] At -2 dB, Loss: 0.2666757, Train BER (-2 dB) : 0.0919952, Valid BER: 0.3109283, Tgt BER: 0.3109283, Noiseless BER 0.0000000, Valid BLER : 0.7460938
[6100/150000] At -2 dB, Loss: 0.2630738, Train BER (-2 dB) : 0.0898285, Valid BER: 0.3072357, Tgt BER: 0.3072357, Noiseless BER 0.0000000, Valid BLER : 0.7377930
[6200/150000] At -2 dB, Loss: 0.2626891, Train BER (-2 dB) : 0.0888214, Valid BER: 0.3073273, Tgt BER: 0.3073273, Noiseless BER 0.0000000, Valid BLER : 0.7377930
[6300/150000] At -2 dB, Loss: 0.2591617, Train BER (-2 dB) : 0.0890808, Valid BER: 0.3121643, Tgt BER: 0.3121643, Noiseless BER 0.0000000, Valid BLER : 0.7431641
[6400/150000] At -2 dB, Loss: 0.2581303, Train BER (-2 dB) : 0.0884094, Valid BER: 0.3099670, Tgt BER: 0.3099670, Noiseless BER 0.0000000, Valid BLER : 0.7456055
[6500/150000] At -2 dB, Loss: 0.2678946, Train BER (-2 dB) : 0.0909119, Valid BER: 0.3050690, Tgt BER: 0.3050690, Noiseless BER 0.0000000, Valid BLER : 0.7312012
[6600/150000] At -2 dB, Loss: 0.2624542, Train BER (-2 dB) : 0.0885468, Valid BER: 0.3075256, Tgt BER: 0.3075256, Noiseless BER 0.0000000, Valid BLER : 0.7407227
[6700/150000] At -2 dB, Loss: 0.2583801, Train BER (-2 dB) : 0.0883942, Valid BER: 0.3073425, Tgt BER: 0.3073425, Noiseless BER 0.0000000, Valid BLER : 0.7401123
[6800/150000] At -2 dB, Loss: 0.2644867, Train BER (-2 dB) : 0.0895844, Valid BER: 0.3138123, Tgt BER: 0.3138123, Noiseless BER 0.0000000, Valid BLER : 0.7420654
[6900/150000] At -2 dB, Loss: 0.2609681, Train BER (-2 dB) : 0.0884857, Valid BER: 0.3148346, Tgt BER: 0.3148346, Noiseless BER 0.0000000, Valid BLER : 0.7419434
[7000/150000] At -2 dB, Loss: 0.2634572, Train BER (-2 dB) : 0.0909576, Valid BER: 0.3106689, Tgt BER: 0.3106689, Noiseless BER 0.0000000, Valid BLER : 0.7420654
[7100/150000] At -2 dB, Loss: 0.2680156, Train BER (-2 dB) : 0.0929108, Valid BER: 0.3109741, Tgt BER: 0.3109741, Noiseless BER 0.0000000, Valid BLER : 0.7425537
[7200/150000] At -2 dB, Loss: 0.2654575, Train BER (-2 dB) : 0.0899048, Valid BER: 0.3092194, Tgt BER: 0.3092194, Noiseless BER 0.0000000, Valid BLER : 0.7321777
[7300/150000] At -2 dB, Loss: 0.2636060, Train BER (-2 dB) : 0.0901642, Valid BER: 0.3090973, Tgt BER: 0.3090973, Noiseless BER 0.0000000, Valid BLER : 0.7415771
[7400/150000] At -2 dB, Loss: 0.2620828, Train BER (-2 dB) : 0.0885468, Valid BER: 0.3141327, Tgt BER: 0.3141327, Noiseless BER 0.0000000, Valid BLER : 0.7453613
[7500/150000] At -2 dB, Loss: 0.2628797, Train BER (-2 dB) : 0.0887909, Valid BER: 0.3103333, Tgt BER: 0.3103333, Noiseless BER 0.0000000, Valid BLER : 0.7401123
[7600/150000] At -2 dB, Loss: 0.2515354, Train BER (-2 dB) : 0.0866241, Valid BER: 0.3104248, Tgt BER: 0.3104248, Noiseless BER 0.0000000, Valid BLER : 0.7412109
[7700/150000] At -2 dB, Loss: 0.2533141, Train BER (-2 dB) : 0.0867004, Valid BER: 0.3080292, Tgt BER: 0.3080292, Noiseless BER 0.0000000, Valid BLER : 0.7399902
[7800/150000] At -2 dB, Loss: 0.2585749, Train BER (-2 dB) : 0.0879211, Valid BER: 0.3075256, Tgt BER: 0.3075256, Noiseless BER 0.0000000, Valid BLER : 0.7359619
[7900/150000] At -2 dB, Loss: 0.2569072, Train BER (-2 dB) : 0.0876770, Valid BER: 0.3146667, Tgt BER: 0.3146667, Noiseless BER 0.0000000, Valid BLER : 0.7482910
