Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Train SNR : 10.0
load training data? True
Number of heads : 1
Number of layers: 3
Positional encoding : static
Print frequency: 100
Num of steps: 200000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 150471
Did not find standard validation data
Need to save for: 1000
tensor([[-1., -1., -1., -1., -1., -1., -1., -1.]], device='cuda:0')
tensor([[ 1.,  1., -1., -1., -1., -1., -1.,  1.]], device='cuda:0')
[0/200000] At 3 dB, Loss: 1.1041287, Train BER (10 dB) : 0.5189209, Valid BER: 0.4546814, Tgt BER: 0.4546814, Noiseless BER 0.4462738, Valid BLER : 0.9486084
[9200/200000] At 3 dB, Loss: 0.0096094, Train BER (10 dB) : 0.0023804, Valid BER: 0.1794891, Tgt BER: 0.1794891, Noiseless BER 0.0000000, Valid BLER : 0.4863281
[9300/200000] At 3 dB, Loss: 0.0121406, Train BER (10 dB) : 0.0030060, Valid BER: 0.1743164, Tgt BER: 0.1743164, Noiseless BER 0.0000000, Valid BLER : 0.4794922
[9400/200000] At 3 dB, Loss: 0.0105423, Train BER (10 dB) : 0.0026093, Valid BER: 0.1765137, Tgt BER: 0.1765137, Noiseless BER 0.0000000, Valid BLER : 0.4764404
[9500/200000] At 3 dB, Loss: 0.0101099, Train BER (10 dB) : 0.0025177, Valid BER: 0.1746521, Tgt BER: 0.1746521, Noiseless BER 0.0000000, Valid BLER : 0.4826660
[9600/200000] At 3 dB, Loss: 0.0087133, Train BER (10 dB) : 0.0021362, Valid BER: 0.1774139, Tgt BER: 0.1774139, Noiseless BER 0.0000000, Valid BLER : 0.4796143
[9700/200000] At 3 dB, Loss: 0.0068943, Train BER (10 dB) : 0.0016937, Valid BER: 0.1722260, Tgt BER: 0.1722260, Noiseless BER 0.0000000, Valid BLER : 0.4763184
[9800/200000] At 3 dB, Loss: 0.0085487, Train BER (10 dB) : 0.0020752, Valid BER: 0.1782990, Tgt BER: 0.1782990, Noiseless BER 0.0000000, Valid BLER : 0.4781494
[9900/200000] At 3 dB, Loss: 0.0088374, Train BER (10 dB) : 0.0021667, Valid BER: 0.1797791, Tgt BER: 0.1797791, Noiseless BER 0.0000000, Valid BLER : 0.4903564
[10000/200000] At 3 dB, Loss: 0.0071991, Train BER (10 dB) : 0.0017700, Valid BER: 0.1720276, Tgt BER: 0.1720276, Noiseless BER 0.0000000, Valid BLER : 0.4739990
[10100/200000] At 3 dB, Loss: 0.0113972, Train BER (10 dB) : 0.0028076, Valid BER: 0.1783295, Tgt BER: 0.1783295, Noiseless BER 0.0000000, Valid BLER : 0.4769287
[10200/200000] At 3 dB, Loss: 0.0084274, Train BER (10 dB) : 0.0020752, Valid BER: 0.1786652, Tgt BER: 0.1786652, Noiseless BER 0.0000000, Valid BLER : 0.4808350
[10300/200000] At 3 dB, Loss: 0.0109412, Train BER (10 dB) : 0.0027313, Valid BER: 0.1750793, Tgt BER: 0.1750793, Noiseless BER 0.0000000, Valid BLER : 0.4765625
[10400/200000] At 3 dB, Loss: 0.0085930, Train BER (10 dB) : 0.0021210, Valid BER: 0.1744385, Tgt BER: 0.1744385, Noiseless BER 0.0000000, Valid BLER : 0.4768066
[10500/200000] At 3 dB, Loss: 0.0087715, Train BER (10 dB) : 0.0022125, Valid BER: 0.1788330, Tgt BER: 0.1788330, Noiseless BER 0.0000000, Valid BLER : 0.4871826
[10600/200000] At 3 dB, Loss: 0.0108301, Train BER (10 dB) : 0.0026855, Valid BER: 0.1727905, Tgt BER: 0.1727905, Noiseless BER 0.0000000, Valid BLER : 0.4761963
[10700/200000] At 3 dB, Loss: 0.0079807, Train BER (10 dB) : 0.0019531, Valid BER: 0.1762543, Tgt BER: 0.1762543, Noiseless BER 0.0000000, Valid BLER : 0.4858398
[10800/200000] At 3 dB, Loss: 0.0074572, Train BER (10 dB) : 0.0018463, Valid BER: 0.1754913, Tgt BER: 0.1754913, Noiseless BER 0.0000000, Valid BLER : 0.4858398
[10900/200000] At 3 dB, Loss: 0.0113931, Train BER (10 dB) : 0.0028076, Valid BER: 0.1757202, Tgt BER: 0.1757202, Noiseless BER 0.0000000, Valid BLER : 0.4791260
[11000/200000] At 3 dB, Loss: 0.0067549, Train BER (10 dB) : 0.0016479, Valid BER: 0.1777954, Tgt BER: 0.1777954, Noiseless BER 0.0000000, Valid BLER : 0.4844971
[11100/200000] At 3 dB, Loss: 0.0058512, Train BER (10 dB) : 0.0014343, Valid BER: 0.1781158, Tgt BER: 0.1781158, Noiseless BER 0.0000000, Valid BLER : 0.4853516
[11200/200000] At 3 dB, Loss: 0.0076985, Train BER (10 dB) : 0.0018768, Valid BER: 0.1792908, Tgt BER: 0.1792908, Noiseless BER 0.0000000, Valid BLER : 0.4852295
[11300/200000] At 3 dB, Loss: 0.0081616, Train BER (10 dB) : 0.0020142, Valid BER: 0.1755371, Tgt BER: 0.1755371, Noiseless BER 0.0000000, Valid BLER : 0.4840088
[11400/200000] At 3 dB, Loss: 0.0107202, Train BER (10 dB) : 0.0026550, Valid BER: 0.1755066, Tgt BER: 0.1755066, Noiseless BER 0.0000000, Valid BLER : 0.4858398
[11500/200000] At 3 dB, Loss: 0.0071443, Train BER (10 dB) : 0.0017700, Valid BER: 0.1744690, Tgt BER: 0.1744690, Noiseless BER 0.0000000, Valid BLER : 0.4739990
[11600/200000] At 3 dB, Loss: 0.0090596, Train BER (10 dB) : 0.0022430, Valid BER: 0.1723328, Tgt BER: 0.1723328, Noiseless BER 0.0000000, Valid BLER : 0.4650879
[11700/200000] At 3 dB, Loss: 0.0091580, Train BER (10 dB) : 0.0022583, Valid BER: 0.1707306, Tgt BER: 0.1707306, Noiseless BER 0.0000000, Valid BLER : 0.4739990
[11800/200000] At 3 dB, Loss: 0.0096533, Train BER (10 dB) : 0.0023956, Valid BER: 0.1773071, Tgt BER: 0.1773071, Noiseless BER 0.0000000, Valid BLER : 0.4849854
