Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
55,"[1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]",,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[1.63364, 0.73007, -1.23316, -1.10193, -0.61968, -1.27107, -1.96773, -2.01666, -0.40844, -0.69556, 1.06496, 1.25922, 1.75571, 0.30968, 1.52364, 0.73368]","[-1.05104, -1.0517, 1.05218, 1.05173, 1.05315, 1.05261, 1.05309, 1.0525]"
56,"[1, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 1]",,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]","[1.21125, 0.48193, 1.56799, -1.15237, -0.30697, -1.69462, 0.67056, 1.71481, -1.66182, 0.52287, -1.72023, 0.37565, -3.29743, 1.16814, -0.80456, -1.56282]","[-1.05118, 1.05047, -1.0514, -1.05192, 0.96016, -1.05227, 1.05281, -1.05079]"
57,"[1, 0, 1, 1, 1, 1, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0]",,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[-1.19983, -0.82323, 0.00583, 1.88043, -2.27724, 0.83196, -1.31474, 0.00416, 1.40662, 0.64823, 1.58835, -1.5159, 0.53614, -0.96565, 2.09038, 0.21978]","[-1.05893, 1.06278, -1.00942, -1.0191, 0.48509, -1.00396, 1.06187, 1.05421]"
58,"[1, 0, 1, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 1, 1]",,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]","[0.85104, -1.42644, 0.26253, -1.16672, -0.4573, 1.86207, -0.05791, 1.46433, -0.77514, -1.37732, 1.36762, 0.83201, -2.13608, -1.57208, 0.68852, -1.23926]","[-1.04726, 1.062, 1.01973, -1.04301, 1.05926, 1.05786, -1.04557, -1.04461]"
59,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0]",,"[1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0]","[-0.21546, 1.81621, 1.31007, -0.1908, -1.50828, -0.93491, 0.68508, -2.46674, 0.04296, -0.47262, -1.70869, -2.50232, -0.35039, 0.84018, -0.81312, 1.97424]","[-1.04805, -1.03715, 1.01534, 1.01879, -0.77825, 1.05073, -1.05102, 1.05113]"
60,"[1, 0, 1, 1, 1, 0, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 0]",,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0]","[1.06718, 1.16534, -0.80378, 0.94047, 0.90592, -1.79337, -0.64468, -0.10394, -0.99185, -0.61697, 0.26025, -2.64942, -1.31078, 2.7154, 0.87025, 0.87235]","[-1.05006, 1.05344, -1.0523, -1.05246, -1.0516, 1.05323, 1.05342, 1.05326]"
61,"[1, 0, 1, 1, 0, 1, 1, 1]","[1, 0, 1, 1, 0, 1, 1, 1]",,"[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[0.86205, 0.5475, -0.04943, -1.27643, 1.75241, -0.28984, -0.43326, 1.18727, -0.49897, -0.12259, 1.99338, 1.08605, -0.11598, 1.06479, -0.20598, -1.21217]","[-1.04784, 1.04684, -1.04926, -1.04579, 1.04491, -1.05111, -1.04159, -1.04907]"
62,"[1, 0, 1, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 0, 1, 1, 0]",,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0]","[-2.10308, -0.27505, 0.18816, -0.14278, -0.75177, 1.80416, -0.48865, -0.56192, 0.78682, 0.93988, -1.41729, -0.20696, 1.42619, -1.02479, -0.60611, 2.68961]","[-1.05436, 1.06493, -1.0373, 0.44022, 1.03668, -1.05458, -1.05417, 1.03553]"
63,"[1, 0, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 0, 1, 0, 0, 1]",,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1]","[-1.73167, 1.41354, 1.83034, -0.36195, 0.10185, -1.29573, -0.03466, -0.47634, 0.9149, -0.75153, -0.44306, 0.94188, 0.29044, -0.17699, -0.51937, -0.42547]","[1.05063, -0.9813, -0.85456, 1.03835, -0.98136, 1.04905, 1.04991, -1.03084]"
64,"[1, 0, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0]",,"[0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","[0.85912, -1.8361, -1.44347, 1.34682, 1.58334, 1.76023, -2.20571, -1.23419, -1.07604, 1.776, 0.71418, -1.41115, -1.37961, -1.66488, 1.18671, 0.21231]","[-1.051, 1.05083, -1.05135, -1.05323, 1.05052, -1.0513, 1.05063, 1.05093]"
65,"[1, 0, 1, 1, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1]",,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[-1.68086, -0.92329, -0.32323, 0.05353, -1.50065, 0.98249, -0.74387, 1.95691, 1.39665, 0.92232, 1.48159, 0.53023, 1.37307, -0.55733, 0.60187, -1.43547]","[-1.05028, 1.03853, -1.05808, -1.04488, 1.04935, 1.0522, -1.05192, -1.05064]"
66,"[1, 0, 1, 1, 0, 0, 1, 0]","[1, 0, 1, 1, 0, 0, 1, 0]",,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[1.39381, 0.0524, 0.29005, -0.24981, 0.89507, -1.11675, 0.04438, -2.12276, -1.00359, -0.94808, -0.51678, -0.36955, -1.0563, 0.03379, -1.3278, 0.01097]","[-1.05234, 1.04864, -1.05018, -1.02613, 1.04942, 1.05181, -1.05343, 1.05158]"
67,"[1, 0, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]",,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0.57061, -0.34648, 1.71001, -1.00624, 1.95103, 0.35703, 0.99862, 0.43011, -1.06152, 0.61648, -0.52394, 2.8228, 0.24787, 0.13739, -2.05997, -0.56391]","[-1.05265, -1.01325, -1.05529, -1.04842, 1.06503, -1.04359, 1.0459, -1.05581]"
68,"[1, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 1]",,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]","[0.59433, -1.71756, 1.19391, 1.16806, 0.41518, -1.59784, -0.65062, 1.5742, -0.43888, 0.52702, -0.59241, -1.09735, 0.87285, 1.37625, 0.73787, -0.10268]","[-1.04881, 1.05358, -1.05031, 1.0504, -1.05307, -1.05052, -1.05048, -1.05054]"
69,"[1, 0, 1, 0, 1, 1, 1, 0]","[1, 0, 1, 0, 1, 1, 1, 0]",,"[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]","[-1.32949, 1.41268, -2.98546, -2.03877, 0.88645, 1.41579, 1.49779, -1.72941, 0.91054, -0.9335, 1.75039, 0.63966, -0.24447, -0.41901, -0.24715, 0.50178]","[-1.05207, 1.05014, -1.05295, 1.04989, -1.05162, -1.05165, -1.05235, 1.05131]"
70,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1]",,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]","[-1.80186, 1.75489, 2.23863, 0.57518, 1.90399, 1.6157, -0.81102, 2.22205, 0.62143, -1.21392, -1.45747, -1.46682, -1.02859, -1.31266, 1.33039, -0.86966]","[-1.04965, 1.0552, -1.05408, 1.05059, -1.05098, 1.0526, -1.05139, -1.05005]"
71,"[1, 0, 1, 0, 1, 0, 1, 0]","[0, 0, 0, 1, 1, 0, 0, 1]",,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1]","[0.51662, -1.05555, -1.13976, 0.45286, -1.21155, -0.7927, 0.3263, -1.48722, -1.50452, 1.46542, 1.25413, 1.09734, 0.20245, -0.00708, -0.88558, -0.36408]","[1.05413, 0.95259, 1.05058, -1.0339, -0.5654, 1.06108, 1.03658, -1.04708]"
72,"[1, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 1, 1]",,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[1.29674, 1.31338, -0.6613, 0.9018, -0.80473, -0.06023, 1.85825, 2.4029, 0.80842, -1.0816, 1.45863, -1.78484, 1.21526, -2.22061, 0.42195, -0.73604]","[1.02957, 1.04691, 1.05536, 1.04768, 1.03393, 1.04645, -1.05867, -1.0411]"
73,"[1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0]",,"[1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]","[-0.47088, -0.86362, 0.08143, -0.63334, 1.33221, -2.16285, 0.15539, -1.68177, 1.17832, 0.39321, -1.68829, 0.75328, -0.66533, 1.53919, 0.53352, 0.71008]","[-1.04594, 1.04414, -1.02011, 1.04234, -1.05796, 1.04581, 1.03463, 1.04738]"
74,"[1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1]",,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]","[-1.18122, -1.40118, 1.1138, 0.90547, 0.71332, -0.31317, -1.10621, 0.29598, 1.18988, 1.23709, -1.38203, -0.51371, 0.04511, 0.26203, 1.51482, -1.30527]","[-1.05004, 1.04083, -1.05181, 1.04541, 1.0266, -1.05054, -1.0503, -1.05149]"
75,"[1, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]",,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0]","[1.97346, 0.66308, -1.40962, -1.25823, -1.07516, -0.0691, 1.63982, -0.1727, -1.29268, -0.42538, -0.16706, 0.74096, 2.3911, -1.30229, -1.84169, 0.71217]","[-1.04372, -1.03297, -0.24246, 1.04151, -1.02507, 1.04553, -1.04227, 1.04609]"
76,"[1, 0, 1, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 0, 1, 0, 1]",,"[0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1]","[1.22098, -1.59332, -0.38368, 0.69414, -0.54936, -0.76258, 0.73221, 1.13661, -1.05028, 0.80591, 1.37643, -0.26404, 0.82305, 0.73314, -0.7874, -0.68515]","[-1.05356, 1.05215, -1.05522, 1.05081, 1.05194, -1.05376, 1.05262, -1.05382]"
77,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 0]",,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]","[-0.75313, 0.60998, 0.82863, -1.74858, 1.00958, 0.79468, -1.07872, -0.94502, 0.37766, -0.93393, -0.01714, 1.8262, -1.36129, -1.51546, 1.22226, 0.70564]","[-1.05086, 1.04918, -1.04892, 1.04946, 1.05142, -1.0511, 1.05044, 1.05092]"
78,"[1, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 0, 1, 0, 1]",,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]","[1.03869, 1.29684, 2.10965, 0.53826, -1.21061, -0.11876, 0.56227, 0.55404, -0.27168, -0.50507, -1.35751, -0.32591, 1.65565, 1.18802, -0.03939, -1.29635]","[-1.0516, -1.05258, 1.05224, 1.05098, 1.0521, -1.05308, 1.05201, -1.05301]"
79,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 1]",,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[-0.45828, 0.08747, -2.86095, 0.55119, 0.84512, 0.006, 0.93092, 1.30276, 0.16832, -1.0915, 0.60757, -2.0314, -0.45483, -1.53726, -1.07118, -1.41882]","[-1.05529, 1.04927, -1.05331, 1.05176, 1.05167, 1.05069, 1.05055, -1.05563]"
80,"[1, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0]",,"[1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1]","[-2.29538, -0.43225, -0.31051, 1.13404, 0.81689, 0.43308, 0.23908, -0.30291, 1.81179, 1.80076, 0.9272, -1.2776, -0.28087, -1.8195, -0.71114, -0.42085]","[-1.04102, 1.0526, 1.05247, -1.04911, -1.0561, -1.06287, -1.05432, 1.05675]"
81,"[1, 0, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]",,"[1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0]","[-0.23477, -2.21111, -0.55447, 0.70671, -1.14118, 0.99812, -1.52112, -1.96741, -1.48005, 1.21637, -0.90246, 0.25326, -0.46115, -1.0148, 1.25032, 0.84321]","[-1.05041, -1.03224, -1.04554, 1.03495, -0.19231, -1.05031, 1.0516, 1.05189]"
82,"[1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0]",,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]","[1.41757, 1.04998, 0.05551, 1.46296, -1.99691, -1.38657, 0.5131, -0.76593, -1.24111, -1.66689, 0.39148, -1.02575, 0.4906, 0.91726, -1.45398, 0.97217]","[-1.05175, 1.05315, 1.06566, -1.05327, -1.04896, 1.05199, -1.05301, 1.05171]"
83,"[1, 0, 0, 1, 1, 0, 0, 1]","[1, 0, 0, 1, 1, 0, 0, 1]",,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1]","[0.56484, -2.27729, -0.96893, -0.998, -2.84937, 0.85371, 2.04616, 0.68691, -0.92999, 0.45106, 0.98044, 1.47705, 0.12132, -0.70113, -1.30217, -1.2618]","[-1.05356, 1.04937, 1.04885, -1.05488, -1.05256, 1.05057, 1.05016, -1.0545]"
84,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 1, 1, 0, 0, 0]",,"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0]","[-1.10558, 1.55971, 0.36911, 1.96572, -0.27627, -1.6797, -1.0086, -1.22553, 1.29373, -1.74387, -0.73502, -0.64534, -1.53053, 0.5705, 0.94318, 0.819]","[-1.04966, 1.0541, 1.05374, -1.05208, -1.06319, 1.0532, 1.05379, 1.05337]"
85,"[1, 0, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 0, 0, 0, 1, 0]",,"[0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[0.56091, 0.80416, -1.04957, -0.98485, -0.59622, -0.76823, 0.89313, 0.21586, -0.43112, -1.85295, -0.36991, 1.10004, 0.32445, 0.9443, -1.61004, 0.15319]","[-1.03592, -1.03282, 1.07646, 1.08647, 0.63753, 1.08186, -1.05047, 1.08323]"
86,"[1, 0, 0, 1, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 1, 1]",,"[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]","[-0.65515, -0.92036, 1.14986, -0.91373, -1.24022, 2.21902, -0.23929, 0.89137, -0.54077, 1.65434, -1.51709, 0.39665, 1.88769, -1.76492, 0.87773, -0.71577]","[-1.04889, 1.05429, 1.05437, -1.05037, 1.05123, 1.05345, -1.05039, -1.04934]"
87,"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 0]",,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1]","[-0.54548, 1.33869, -1.65498, 2.61553, 1.07796, -0.55586, 0.81508, -0.59229, 0.9041, -0.83842, 1.50097, -0.88539, -0.8382, 0.19332, -0.07443, -0.00943]","[-1.04875, 1.05669, 1.06158, -1.04657, 1.06207, 1.06557, -1.04211, 1.06376]"
88,"[1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 0, 0, 0, 1]",,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[-1.12144, -0.69276, -1.66871, 0.09092, 1.78469, 1.10678, 1.42083, 0.43898, 2.22775, 0.74684, 1.00758, 0.81529, -1.27172, -0.72075, -0.61899, -0.34066]","[-1.05484, 1.06431, 1.04741, -0.98671, 1.04927, 1.05054, 1.04971, -1.05478]"
89,"[1, 0, 0, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 1]",,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]","[1.90629, -1.88338, 1.89962, 0.39528, 2.13203, -1.23401, 0.69079, 0.90382, -1.34068, -0.9549, -0.87266, -1.04194, -1.58901, 0.52447, -1.31444, -1.48016]","[-1.05147, 1.06397, 1.05194, 1.05079, -1.04166, -1.0526, 1.05274, -1.05011]"
90,"[1, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]",,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0]","[0.06341, 0.38042, 0.056, -0.63198, -0.59485, -0.87107, -1.3271, -1.79449, -0.35568, -0.14942, 0.38829, 0.47182, 2.51908, -1.73501, 1.22372, 1.58143]","[-1.03889, -1.01952, -1.00281, 0.97528, 1.04471, 1.04912, 1.02966, 1.01577]"
91,"[1, 0, 0, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 1, 1]",,"[0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0]","[2.16929, 0.5859, -0.2938, 0.44342, 1.79123, 1.87821, -0.67967, 1.43107, -2.06642, -1.86397, 1.02725, -2.61616, -0.56476, -0.74517, 2.60352, 0.24123]","[-1.04945, 1.03882, 1.04036, 1.05411, -1.0472, 1.05624, -1.05298, -1.04996]"
92,"[1, 0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 1, 0]",,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]","[-0.59622, -0.19012, 0.54569, -0.63651, -1.05935, -1.85821, 0.88566, -1.15499, 0.82601, -0.52957, -2.2761, 0.50232, 0.8922, 1.99861, -0.03767, 0.31958]","[-1.04949, 1.03025, 1.04997, 1.04784, -1.04726, 1.05066, -1.05048, 1.05103]"
93,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 1]",,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]","[-1.16603, 2.5244, 0.92545, 1.39953, -0.40556, 1.30202, 0.85646, 0.94828, 1.84747, -1.67603, -0.90561, -1.45542, 1.51183, -1.28487, -0.43189, 0.22248]","[-1.05956, 1.04461, 1.04417, 1.04869, -1.05331, 1.05473, 1.05306, -1.04908]"
94,"[1, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0]",,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[1.41537, -1.36139, 0.44029, -1.56226, 0.85131, -0.8868, -1.78461, -0.81364, -1.46214, 0.98257, 0.53479, 0.82145, -0.50528, 0.23941, 1.3202, 1.01487]","[-1.05113, 1.05075, 1.06846, 1.05106, -1.04978, 1.05232, 1.05316, 1.05254]"
95,"[1, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 0]",,"[1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0]","[-0.79609, 1.02263, 1.92386, -1.03344, -1.63519, -0.51587, -0.12722, -0.51999, 1.35863, -1.15503, -0.00599, 1.635, 1.604, -0.15327, -1.4887, 0.75106]","[0.98773, 1.04631, 1.04358, 1.05082, 1.06291, -1.05865, -1.04025, 1.05033]"
96,"[1, 0, 0, 0, 0, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 0, 1]",,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1]","[-1.98619, -0.71883, 0.97361, 0.89123, -0.42952, 0.23933, 0.55205, 0.3361, 1.54626, 0.64049, -1.59132, -0.50551, 1.51608, -0.72942, -1.03206, -1.27423]","[-1.05224, -1.05409, 1.04687, 1.05014, -1.04258, 1.04892, 1.04865, -1.05422]"
97,"[1, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0]",,"[0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0]","[1.02941, 1.19648, -2.01948, -0.48801, 0.90979, 0.78854, -1.15562, -1.12159, -1.66695, 0.01187, 1.72299, 1.27649, -1.41065, -1.07602, 0.68381, 0.1458]","[-1.05076, 1.02768, 1.04952, 1.05053, 1.05228, -1.04994, 1.05166, 1.05225]"
98,"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 1, 1]",,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]","[-1.13099, 0.91585, -0.00461, 1.10269, -1.38922, 1.23368, -0.64026, 1.75262, 0.31989, -1.13102, 0.79445, 0.95981, 0.62099, -1.15749, 1.60511, -1.18733]","[-1.04745, 1.0631, 1.04671, 1.0432, 1.05963, 1.05916, -1.04638, -1.04087]"
99,"[1, 0, 0, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 1, 0]",,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]","[2.96155, -0.4133, 2.06396, -1.85359, 0.51773, -1.4839, 0.86655, -0.83824, -1.53772, 1.93979, -0.48174, 2.05765, -1.68955, 0.44967, -1.29784, 0.67177]","[-1.0514, 1.04896, 1.05051, 1.05038, 1.05385, 1.05157, -1.05298, 1.05155]"
100,"[1, 0, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1]",,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.91994, 0.81358, -0.15526, -0.07808, 2.03651, 0.37978, 1.66219, 1.68915, -2.03076, -1.44757, -1.5037, -1.90021, -1.71583, -1.70301, -0.76554, -0.21941]","[-1.05501, 1.04954, 1.05177, 0.99407, 1.04795, 1.05089, 1.05156, -1.05546]"
101,"[1, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]",,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[-1.98725, 0.00661, 0.0497, -1.36172, -1.97479, -0.40604, -1.3875, -1.27221, -0.09097, 1.32839, 0.96913, 1.11768, 0.51645, 1.25016, 0.68511, 0.7361]","[-1.04883, -1.04239, -1.04235, 1.04666, 1.047, 1.04925, 1.05012, 1.04984]"
102,"[0, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 1]",,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1]","[-1.26185, 0.72488, 1.83074, 1.00201, 0.89204, -0.2718, 1.88497, -2.50317, -1.02995, -0.17368, 1.00807, -0.25706, 2.07465, 0.81632, 1.26632, -0.56982]","[1.05994, -1.01679, 1.04497, 1.02118, -1.02608, -1.04254, -1.04837, -1.03625]"
103,"[0, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 0]",,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]","[0.00769, 1.47439, -0.2738, -0.02922, 0.35834, 0.68818, 0.6116, -0.39769, 0.44011, 1.29427, -1.03032, 0.80425, -1.4389, 0.13641, -0.61808, 0.50507]","[-1.04684, -1.05259, -1.04462, 1.04113, -1.03838, -1.05527, -1.05899, 1.05022]"
104,"[0, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]",,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0]","[-0.39394, 0.59176, 1.8462, 0.13086, 2.82466, 1.33275, 0.95425, -0.41173, -0.7795, -0.4428, 0.67484, -1.43324, 0.72984, -1.58953, 0.76761, 0.30815]","[-1.0467, -1.04228, -1.03596, -1.0529, -1.03753, -1.04559, 1.04974, 1.04067]"
105,"[0, 1, 1, 1, 1, 0, 1, 1]","[0, 1, 1, 1, 1, 0, 1, 1]",,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]","[1.49698, -2.09488, -0.36693, 1.38894, 0.87927, -2.92884, 1.09235, -0.57876, 0.52335, -0.28929, 0.73414, 1.67413, -0.91516, -1.32873, 1.27824, -0.78385]","[1.05009, -1.05044, -1.05766, -1.04944, -1.00995, 1.052, -1.05153, -1.05081]"
106,"[0, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 1, 0, 1, 0]",,"[1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[-0.92784, 0.6761, -1.78238, -1.70909, 0.4199, 1.21168, -0.2057, 2.45119, -0.97845, 0.74883, -1.13806, -1.20131, 0.29724, 1.60061, -1.30612, 1.37473]","[1.05082, -1.05148, -1.05143, -1.05311, -1.04937, 1.05234, -1.05304, 1.05195]"
107,"[0, 1, 1, 1, 1, 0, 0, 1]","[0, 1, 1, 1, 1, 0, 0, 1]",,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]","[-0.07086, 0.45653, -1.662, 1.14575, -0.17148, -0.33584, -0.09657, -2.54543, -0.80674, -1.75435, -2.24935, 1.34173, 1.82283, -1.4049, -1.19083, -2.34017]","[1.05276, -1.05383, -1.05126, -1.05244, -1.02326, 1.05194, 1.05228, -1.05206]"
108,"[0, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 1, 0, 1, 0, 1]",,"[1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[-0.47002, 0.99465, -0.42878, 0.8198, 0.13197, 2.64883, -1.49808, -1.86377, -1.63827, 0.75157, -1.60975, 0.50878, 0.71864, 1.68833, -0.4603, -1.93697]","[1.05279, -1.05323, -1.05462, -1.05403, 1.0516, -1.05309, 1.05173, -1.05312]"
109,"[0, 1, 1, 1, 0, 0, 1, 1]","[0, 1, 1, 1, 0, 0, 1, 1]",,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[-2.16443, -1.57295, 0.81936, 1.56109, 0.3586, -0.71278, 2.75652, -0.88781, -0.80385, -1.3681, 1.88553, -0.52265, 1.68478, -2.07534, 0.47499, -0.2608]","[1.05239, -1.02943, -1.01825, -1.00578, 1.0578, 1.05879, -1.04908, -1.04662]"
