Info positions : [0 1 2 3 4 5 6 7]
Target Info positions : [0 1 2 3 4 5 6 7]
Frozen positions : []
Code : polar 
Rate Profile : polar
Validation SNR : 5.5
Number of heads : 1
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 20
Num of steps: 3000
Training Model for 8,8 anew
Number of parameters : 75853
Did not find standard validation data
Need to save for: 5000
[0/3000] At 5 dB, Loss: 1.1313910, Train BER (5 dB) : 0.4577484, Valid BER: 0.4980011, Tgt BER: 0.4980011, Noiseless BER 0.6250000, Valid BLER : 0.9954834
[1960/3000] At 5 dB, Loss: 0.3141146, Train BER (5 dB) : 0.0884705, Valid BER: 0.5023651, Tgt BER: 0.5023651, Noiseless BER 0.0000000, Valid BLER : 0.9954834
[1980/3000] At 5 dB, Loss: 0.3071928, Train BER (5 dB) : 0.0865479, Valid BER: 0.4944458, Tgt BER: 0.4944458, Noiseless BER 0.0000000, Valid BLER : 0.9959717
[2000/3000] At 5 dB, Loss: 0.3113247, Train BER (5 dB) : 0.0877228, Valid BER: 0.5019989, Tgt BER: 0.5019989, Noiseless BER 0.0000000, Valid BLER : 0.9968262
[2020/3000] At 5 dB, Loss: 0.3364011, Train BER (5 dB) : 0.0954437, Valid BER: 0.4996643, Tgt BER: 0.4996643, Noiseless BER 0.0000000, Valid BLER : 0.9964600
[2040/3000] At 5 dB, Loss: 0.3165742, Train BER (5 dB) : 0.0896149, Valid BER: 0.4994965, Tgt BER: 0.4994965, Noiseless BER 0.0000000, Valid BLER : 0.9960938
[2060/3000] At 5 dB, Loss: 0.3155310, Train BER (5 dB) : 0.0892944, Valid BER: 0.4988861, Tgt BER: 0.4988861, Noiseless BER 0.0000000, Valid BLER : 0.9967041
[2080/3000] At 5 dB, Loss: 0.3330759, Train BER (5 dB) : 0.0947113, Valid BER: 0.4987946, Tgt BER: 0.4987946, Noiseless BER 0.0000000, Valid BLER : 0.9968262
[2100/3000] At 5 dB, Loss: 0.3224215, Train BER (5 dB) : 0.0912476, Valid BER: 0.5000763, Tgt BER: 0.5000763, Noiseless BER 0.0000000, Valid BLER : 0.9963379
[2120/3000] At 5 dB, Loss: 0.3278952, Train BER (5 dB) : 0.0931396, Valid BER: 0.4979706, Tgt BER: 0.4979706, Noiseless BER 0.0000000, Valid BLER : 0.9962158
[2140/3000] At 5 dB, Loss: 0.3274894, Train BER (5 dB) : 0.0928345, Valid BER: 0.4992065, Tgt BER: 0.4992065, Noiseless BER 0.0000000, Valid BLER : 0.9953613
[2160/3000] At 5 dB, Loss: 0.3270056, Train BER (5 dB) : 0.0925446, Valid BER: 0.4978180, Tgt BER: 0.4978180, Noiseless BER 0.0000000, Valid BLER : 0.9965820
[2180/3000] At 5 dB, Loss: 0.3231788, Train BER (5 dB) : 0.0917511, Valid BER: 0.4998016, Tgt BER: 0.4998016, Noiseless BER 0.0000000, Valid BLER : 0.9964600
[2200/3000] At 5 dB, Loss: 0.3288576, Train BER (5 dB) : 0.0929718, Valid BER: 0.4995270, Tgt BER: 0.4995270, Noiseless BER 0.0000000, Valid BLER : 0.9953613
[2220/3000] At 5 dB, Loss: 0.3199220, Train BER (5 dB) : 0.0903320, Valid BER: 0.4986420, Tgt BER: 0.4986420, Noiseless BER 0.0000000, Valid BLER : 0.9959717
[2240/3000] At 5 dB, Loss: 0.3336232, Train BER (5 dB) : 0.0948334, Valid BER: 0.4982452, Tgt BER: 0.4982452, Noiseless BER 0.0000000, Valid BLER : 0.9967041
[2260/3000] At 5 dB, Loss: 0.3234155, Train BER (5 dB) : 0.0917664, Valid BER: 0.4975739, Tgt BER: 0.4975739, Noiseless BER 0.0000000, Valid BLER : 0.9963379
[2280/3000] At 5 dB, Loss: 0.3082365, Train BER (5 dB) : 0.0869446, Valid BER: 0.5023651, Tgt BER: 0.5023651, Noiseless BER 0.0000000, Valid BLER : 0.9967041
[2300/3000] At 5 dB, Loss: 0.3086131, Train BER (5 dB) : 0.0870056, Valid BER: 0.5016327, Tgt BER: 0.5016327, Noiseless BER 0.0000000, Valid BLER : 0.9967041
[2320/3000] At 5 dB, Loss: 0.3150858, Train BER (5 dB) : 0.0891724, Valid BER: 0.4991302, Tgt BER: 0.4991302, Noiseless BER 0.0000000, Valid BLER : 0.9962158
[2340/3000] At 5 dB, Loss: 0.3301708, Train BER (5 dB) : 0.0936127, Valid BER: 0.4997711, Tgt BER: 0.4997711, Noiseless BER 0.0000000, Valid BLER : 0.9959717
[2360/3000] At 5 dB, Loss: 0.3189585, Train BER (5 dB) : 0.0899658, Valid BER: 0.5006714, Tgt BER: 0.5006714, Noiseless BER 0.0000000, Valid BLER : 0.9969482
[2380/3000] At 5 dB, Loss: 0.3107187, Train BER (5 dB) : 0.0876770, Valid BER: 0.4986420, Tgt BER: 0.4986420, Noiseless BER 0.0000000, Valid BLER : 0.9951172
[2400/3000] At 5 dB, Loss: 0.3214989, Train BER (5 dB) : 0.0909424, Valid BER: 0.4967499, Tgt BER: 0.4967499, Noiseless BER 0.0000000, Valid BLER : 0.9953613
[2420/3000] At 5 dB, Loss: 0.3265531, Train BER (5 dB) : 0.0924835, Valid BER: 0.5009766, Tgt BER: 0.5009766, Noiseless BER 0.0000000, Valid BLER : 0.9962158
