Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
Code : polar 
Rate Profile : polar
Validation SNR : 1.2
Number of heads : 8
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 20000
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 5000
[0/20000] At 1 dB, Loss: 1.6820605, Train BER (1 dB) : 0.5298920, Valid BER: 0.4490204, Tgt BER: 0.4490204, Noiseless BER 0.4340363, Valid BLER : 0.9543457
[5700/20000] At 1 dB, Loss: 0.4780714, Train BER (1 dB) : 0.2094269, Valid BER: 0.2062683, Tgt BER: 0.2062683, Noiseless BER 0.0000000, Valid BLER : 0.6356201
[5800/20000] At 1 dB, Loss: 0.4673302, Train BER (1 dB) : 0.2041321, Valid BER: 0.2059021, Tgt BER: 0.2059021, Noiseless BER 0.0000000, Valid BLER : 0.6398926
[5900/20000] At 1 dB, Loss: 0.4612629, Train BER (1 dB) : 0.2049408, Valid BER: 0.2062988, Tgt BER: 0.2062988, Noiseless BER 0.0000000, Valid BLER : 0.6462402
[6000/20000] At 1 dB, Loss: 0.4654756, Train BER (1 dB) : 0.2041016, Valid BER: 0.2055664, Tgt BER: 0.2055664, Noiseless BER 0.0000000, Valid BLER : 0.6387939
[6100/20000] At 1 dB, Loss: 0.4735980, Train BER (1 dB) : 0.2091827, Valid BER: 0.2028503, Tgt BER: 0.2028503, Noiseless BER 0.0000000, Valid BLER : 0.6307373
[6200/20000] At 1 dB, Loss: 0.4767990, Train BER (1 dB) : 0.2071228, Valid BER: 0.2040863, Tgt BER: 0.2040863, Noiseless BER 0.0000000, Valid BLER : 0.6358643
[6300/20000] At 1 dB, Loss: 0.4720019, Train BER (1 dB) : 0.2061920, Valid BER: 0.2059021, Tgt BER: 0.2059021, Noiseless BER 0.0000000, Valid BLER : 0.6395264
[6400/20000] At 1 dB, Loss: 0.4655482, Train BER (1 dB) : 0.2040558, Valid BER: 0.2043915, Tgt BER: 0.2043915, Noiseless BER 0.0000000, Valid BLER : 0.6408691
[6500/20000] At 1 dB, Loss: 0.4676660, Train BER (1 dB) : 0.2053223, Valid BER: 0.2075348, Tgt BER: 0.2075348, Noiseless BER 0.0000000, Valid BLER : 0.6491699
[6600/20000] At 1 dB, Loss: 0.4777566, Train BER (1 dB) : 0.2084045, Valid BER: 0.2086945, Tgt BER: 0.2086945, Noiseless BER 0.0000000, Valid BLER : 0.6434326
[6700/20000] At 1 dB, Loss: 0.4627707, Train BER (1 dB) : 0.2032166, Valid BER: 0.2056885, Tgt BER: 0.2056885, Noiseless BER 0.0000000, Valid BLER : 0.6215820
[6800/20000] At 1 dB, Loss: 0.4592053, Train BER (1 dB) : 0.2025757, Valid BER: 0.2067566, Tgt BER: 0.2067566, Noiseless BER 0.0000000, Valid BLER : 0.6436768
[6900/20000] At 1 dB, Loss: 0.4761315, Train BER (1 dB) : 0.2080841, Valid BER: 0.2058563, Tgt BER: 0.2058563, Noiseless BER 0.0000000, Valid BLER : 0.6409912
[7000/20000] At 1 dB, Loss: 0.4749428, Train BER (1 dB) : 0.2110291, Valid BER: 0.2045746, Tgt BER: 0.2045746, Noiseless BER 0.0000000, Valid BLER : 0.6442871
[7100/20000] At 1 dB, Loss: 0.4760983, Train BER (1 dB) : 0.2083435, Valid BER: 0.2033081, Tgt BER: 0.2033081, Noiseless BER 0.0000000, Valid BLER : 0.6406250
[7200/20000] At 1 dB, Loss: 0.4662218, Train BER (1 dB) : 0.2046814, Valid BER: 0.2115479, Tgt BER: 0.2115479, Noiseless BER 0.0000000, Valid BLER : 0.6590576
[7300/20000] At 1 dB, Loss: 0.4639836, Train BER (1 dB) : 0.2043457, Valid BER: 0.2040863, Tgt BER: 0.2040863, Noiseless BER 0.0000000, Valid BLER : 0.6325684
[7400/20000] At 1 dB, Loss: 0.4719531, Train BER (1 dB) : 0.2094421, Valid BER: 0.2045135, Tgt BER: 0.2045135, Noiseless BER 0.0000000, Valid BLER : 0.6340332
[7500/20000] At 1 dB, Loss: 0.4643111, Train BER (1 dB) : 0.2036743, Valid BER: 0.2074738, Tgt BER: 0.2074738, Noiseless BER 0.0000000, Valid BLER : 0.6436768
[7600/20000] At 1 dB, Loss: 0.4719874, Train BER (1 dB) : 0.2070007, Valid BER: 0.2096558, Tgt BER: 0.2096558, Noiseless BER 0.0000000, Valid BLER : 0.6517334
[7700/20000] At 1 dB, Loss: 0.4669231, Train BER (1 dB) : 0.2047424, Valid BER: 0.2053223, Tgt BER: 0.2053223, Noiseless BER 0.0000000, Valid BLER : 0.6229248
[7800/20000] At 1 dB, Loss: 0.4605511, Train BER (1 dB) : 0.2044067, Valid BER: 0.2040100, Tgt BER: 0.2040100, Noiseless BER 0.0000000, Valid BLER : 0.6352539
[7900/20000] At 1 dB, Loss: 0.4668590, Train BER (1 dB) : 0.2082062, Valid BER: 0.2091827, Tgt BER: 0.2091827, Noiseless BER 0.0000000, Valid BLER : 0.6529541
[8000/20000] At 1 dB, Loss: 0.4607233, Train BER (1 dB) : 0.2023773, Valid BER: 0.2065430, Tgt BER: 0.2065430, Noiseless BER 0.0000000, Valid BLER : 0.6446533
[8100/20000] At 1 dB, Loss: 0.4709760, Train BER (1 dB) : 0.2058716, Valid BER: 0.2081299, Tgt BER: 0.2081299, Noiseless BER 0.0000000, Valid BLER : 0.6520996
[8200/20000] At 1 dB, Loss: 0.4746048, Train BER (1 dB) : 0.2073975, Valid BER: 0.2054596, Tgt BER: 0.2054596, Noiseless BER 0.0000000, Valid BLER : 0.6435547
[8300/20000] At 1 dB, Loss: 0.4632858, Train BER (1 dB) : 0.2046967, Valid BER: 0.2056885, Tgt BER: 0.2056885, Noiseless BER 0.0000000, Valid BLER : 0.6467285
[8400/20000] At 1 dB, Loss: 0.4710991, Train BER (1 dB) : 0.2067719, Valid BER: 0.2073364, Tgt BER: 0.2073364, Noiseless BER 0.0000000, Valid BLER : 0.6478271
[8500/20000] At 1 dB, Loss: 0.4632954, Train BER (1 dB) : 0.2053986, Valid BER: 0.2039185, Tgt BER: 0.2039185, Noiseless BER 0.0000000, Valid BLER : 0.6298828
[8600/20000] At 1 dB, Loss: 0.4631829, Train BER (1 dB) : 0.2032623, Valid BER: 0.2106781, Tgt BER: 0.2106781, Noiseless BER 0.0000000, Valid BLER : 0.6453857
[8700/20000] At 1 dB, Loss: 0.4677675, Train BER (1 dB) : 0.2049561, Valid BER: 0.2086029, Tgt BER: 0.2086029, Noiseless BER 0.0000000, Valid BLER : 0.6430664
[8800/20000] At 1 dB, Loss: 0.4667223, Train BER (1 dB) : 0.2057648, Valid BER: 0.2065125, Tgt BER: 0.2065125, Noiseless BER 0.0000000, Valid BLER : 0.6364746
[8900/20000] At 1 dB, Loss: 0.4725920, Train BER (1 dB) : 0.2085114, Valid BER: 0.2068176, Tgt BER: 0.2068176, Noiseless BER 0.0000000, Valid BLER : 0.6477051
[9000/20000] At 1 dB, Loss: 0.4689725, Train BER (1 dB) : 0.2045898, Valid BER: 0.2098846, Tgt BER: 0.2098846, Noiseless BER 0.0000000, Valid BLER : 0.6429443
[9100/20000] At 1 dB, Loss: 0.4724346, Train BER (1 dB) : 0.2109833, Valid BER: 0.2074432, Tgt BER: 0.2074432, Noiseless BER 0.0000000, Valid BLER : 0.6412354
[9200/20000] At 1 dB, Loss: 0.4747978, Train BER (1 dB) : 0.2115631, Valid BER: 0.2072449, Tgt BER: 0.2072449, Noiseless BER 0.0000000, Valid BLER : 0.6453857
[9300/20000] At 1 dB, Loss: 0.4629298, Train BER (1 dB) : 0.2035828, Valid BER: 0.1999664, Tgt BER: 0.1999664, Noiseless BER 0.0000000, Valid BLER : 0.6279297
[9400/20000] At 1 dB, Loss: 0.4690128, Train BER (1 dB) : 0.2066650, Valid BER: 0.2047272, Tgt BER: 0.2047272, Noiseless BER 0.0000000, Valid BLER : 0.6325684
[9500/20000] At 1 dB, Loss: 0.4823348, Train BER (1 dB) : 0.2115784, Valid BER: 0.2079773, Tgt BER: 0.2079773, Noiseless BER 0.0000000, Valid BLER : 0.6433105
[9600/20000] At 1 dB, Loss: 0.4661635, Train BER (1 dB) : 0.2066193, Valid BER: 0.2056885, Tgt BER: 0.2056885, Noiseless BER 0.0000000, Valid BLER : 0.6412354
